PeakID (cmd=annotatePeaks.pl /jet/home/bpaliwal/LiverOCRAnalysis/LiverOCRAnalysis/results/classification_results/raw_results/mouse_mapped_from_human_promoters.bed /ocean/projects/bio230007p/ikaplow/MouseGenomeInfo/mm10.fa -gtf /ocean/projects/bio230007p/bpaliwal/MouseGenomeInfo/gencode.vM10.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1-568	chr1	191718976	191719278	+	191718792	NA	intron (ENSMUST00000130876.1, intron 1 of 4)	-intron (ENSMUST00000110855.7, intron 1 of 7)	606	ENSMUST00000130876.1	ENSMUSG00000026623	ENSMUST00000130876			Lpgat1			
chr1-566	chr1	191717726	191718798	+	191718792	NA	promoter-TSS (ENSMUST00000110856.7)	-promoter-TSS (ENSMUST00000110856.7)	-127	ENSMUST00000110856.7	ENSMUSG00000026623	ENSMUST00000130876			Lpgat1			
chr1-565	chr1	191640192	191642182	+	191638878	NA	Intergenic	Intergenic	43540	ENSMUST00000194205.1	ENSMUSG00000102970	ENSMUST00000194205			Gm37349			
chr1-563	chr1	191640192	191642182	+	191638878	NA	Intergenic	Intergenic	43540	ENSMUST00000194205.1	ENSMUSG00000102970	ENSMUST00000194205			Gm37349			
chr1-564	chr1	191640192	191642182	+	191638878	NA	Intergenic	Intergenic	43540	ENSMUST00000194205.1	ENSMUSG00000102970	ENSMUST00000194205			Gm37349			
chr1-562	chr1	191619400	191619857	+	191618241	NA	exon (ENSMUST00000045450.6, exon 19 of 20)	-exon (ENSMUST00000045450.6, exon 19 of 20)	21981	ENSMUST00000194205.1	ENSMUSG00000102970	ENSMUST00000194205			Gm37349			
chr1-561	chr1	190928461	190929052	+	190929102	NA	promoter-TSS (ENSMUST00000130298.3)	-promoter-TSS (ENSMUST00000130298.3)	-66	ENSMUST00000135364.6	ENSMUSG00000026634	ENSMUST00000135364			Angel2			
chr1-560	chr1	190797137	190797427	+	190795208	NA	exon (ENSMUST00000159823.7, exon 4 of 4)	-exon (ENSMUST00000159823.7, exon 4 of 4)	13181	ENSMUST00000160891.1	ENSMUSG00000089872	ENSMUST00000162500			Rps6kc1			
chr1-559	chr1	190769047	190769447	+	190768835	NA	intron (ENSMUST00000159624.7, intron 6 of 12)	-intron (ENSMUST00000159624.7, intron 6 of 12)	41216	ENSMUST00000160891.1	ENSMUSG00000089872	ENSMUST00000162500			Rps6kc1			
chr1-558	chr1	190724140	190724551	+	190724888	NA	intron (ENSMUST00000159624.7, intron 9 of 12)	-intron (ENSMUST00000159624.7, intron 9 of 12)	86118	ENSMUST00000160891.1	ENSMUSG00000089872	ENSMUST00000162500			Rps6kc1			
chr1-557	chr1	189898627	189899011	+	189900866	NA	exon (ENSMUST00000144452.1, exon 4 of 10)	-exon (ENSMUST00000144452.1, exon 4 of 10)	-9817	ENSMUST00000130804.7	ENSMUSG00000026603	ENSMUST00000027897			Smyd2			
chr1-556	chr1	189645475	189645696	+	189645535	NA	intron (ENSMUST00000171929.7, intron 17 of 17)	-intron (ENSMUST00000165798.1, intron 2 of 2)	3271	ENSMUST00000165798.1	ENSMUSG00000026605	ENSMUST00000194165			Cenpf			
chr1-555	chr1	185187307	185187643	+	185187044	NA	Intergenic	Intergenic	-16642	ENSMUST00000194740.5	ENSMUSG00000039318	ENSMUST00000069652			Rab3gap2			
chr1-554	chr1	185165200	185165678	+	185164209	NA	Intergenic	Intergenic	-38678	ENSMUST00000194740.5	ENSMUSG00000039318	ENSMUST00000069652			Rab3gap2			
chr1-553	chr1	184824500	184824861	+	184824187	NA	intron (ENSMUST00000161821.3, intron 4 of 5)	-intron (ENSMUST00000068725.9, intron 4 of 7)	-1645	ENSMUST00000161341.7	ENSMUSG00000073481	ENSMUST00000160318			Marc2			
chr1-552	chr1	184519451	184520255	+	184518963	NA	Intergenic	Intergenic	37838	ENSMUST00000188766.1	ENSMUSG00000101574	ENSMUST00000188766			1700112H15Rik			
chr1-551	chr1	184519451	184520255	+	184518963	NA	Intergenic	Intergenic	37838	ENSMUST00000188766.1	ENSMUSG00000101574	ENSMUST00000188766			1700112H15Rik			
chr1-550	chr1	184342612	184342874	+	184342476	NA	Intergenic	Intergenic	-15586	ENSMUST00000195070.5	ENSMUSG00000102682	ENSMUST00000193894			Gm37223			
chr1-548	chr1	184172961	184173794	+	184175176	NA	Intergenic	Intergenic	138996	ENSMUST00000048655.7	ENSMUSG00000039384	ENSMUST00000048655			Dusp10			
chr1-549	chr1	184172961	184173794	+	184175176	NA	Intergenic	Intergenic	138996	ENSMUST00000048655.7	ENSMUSG00000039384	ENSMUST00000048655			Dusp10			
chr1-547	chr1	183295749	183297864	+	183295708	NA	promoter-TSS (ENSMUST00000109166.7)	-promoter-TSS (ENSMUST00000109166.7)	186	ENSMUST00000057062.11	ENSMUSG00000046836	ENSMUST00000057062			Brox			
chr1-546	chr1	183295749	183297864	+	183295708	NA	promoter-TSS (ENSMUST00000109166.7)	-promoter-TSS (ENSMUST00000109166.7)	186	ENSMUST00000057062.11	ENSMUSG00000046836	ENSMUST00000057062			Brox			
chr1-545	chr1	182509303	182509944	+	182507503	NA	intron (ENSMUST00000192483.1, intron 2 of 9)	-intron (ENSMUST00000068505.9, intron 2 of 20)	7901	ENSMUST00000068505.9	ENSMUSG00000026509	ENSMUST00000192230			Capn2			
chr1-543	chr1	182115416	182116032	+	182115505	NA	Intergenic	Intergenic	-9013	ENSMUST00000111018.1	ENSMUSG00000026511	ENSMUST00000191799			Srp9			
chr1-544	chr1	182115416	182116032	+	182115505	NA	Intergenic	Intergenic	-9013	ENSMUST00000111018.1	ENSMUSG00000026511	ENSMUST00000191799			Srp9			
chr1-542	chr1	182102320	182103026	+	182103336	NA	Intergenic	Intergenic	-22064	ENSMUST00000111018.1	ENSMUSG00000026511	ENSMUST00000191799			Srp9			
chr2-606	chr2	181501705	181502218	+	181503095	NA	exon (ENSMUST00000000844.14, exon 3 of 7)	-exon (ENSMUST00000000844.14, exon 3 of 7)	2095	ENSMUST00000155589.1	ENSMUSG00000000827	ENSMUST00000155589			Tpd52l2			
chr2-605	chr2	181364511	181365122	+	181365834	NA	promoter-TSS (ENSMUST00000029105.11)	-promoter-TSS (ENSMUST00000029105.11)	-5	ENSMUST00000130346.7	ENSMUSG00000038671	ENSMUST00000145358			Arfrp1			
chr2-603	chr2	181319244	181320770	+	181322102	NA	promoter-TSS (ENSMUST00000153112.1)	-promoter-TSS (ENSMUST00000153112.1)	44	ENSMUST00000153112.1	ENSMUSG00000038685	ENSMUST00000125233			Rtel1			
chr2-604	chr2	181319244	181320770	+	181322102	NA	promoter-TSS (ENSMUST00000153112.1)	-promoter-TSS (ENSMUST00000153112.1)	44	ENSMUST00000153112.1	ENSMUSG00000038685	ENSMUST00000125233			Rtel1			
chr1-541	chr1	181257157	181257822	+	181259287	NA	Intergenic	Intergenic	-15169	ENSMUST00000117444.1	ENSMUSG00000081214	ENSMUST00000117444			Rpl35a-ps2			
chr2-602	chr2	181219951	181220091	+	181220272	NA	promoter-TSS (ENSMUST00000050026.6)	-promoter-TSS (ENSMUST00000050026.6)	8	ENSMUST00000050026.6	ENSMUSG00000047841	ENSMUST00000050026			BC051628			
chr1-536	chr1	181210703	181212765	+	181208742	NA	promoter-TSS (ENSMUST00000036329.11)	-promoter-TSS (ENSMUST00000036329.11)	-182	ENSMUST00000162819.7	ENSMUSG00000038733	ENSMUST00000159673			Wdr26			
chr1-538	chr1	181210703	181212765	+	181208742	NA	promoter-TSS (ENSMUST00000036329.11)	-promoter-TSS (ENSMUST00000036329.11)	-182	ENSMUST00000162819.7	ENSMUSG00000038733	ENSMUST00000159673			Wdr26			
chr1-540	chr1	181210703	181212765	+	181208742	NA	promoter-TSS (ENSMUST00000036329.11)	-promoter-TSS (ENSMUST00000036329.11)	-182	ENSMUST00000162819.7	ENSMUSG00000038733	ENSMUST00000159673			Wdr26			
chr1-539	chr1	181210703	181212765	+	181208742	NA	promoter-TSS (ENSMUST00000036329.11)	-promoter-TSS (ENSMUST00000036329.11)	-182	ENSMUST00000162819.7	ENSMUSG00000038733	ENSMUST00000159673			Wdr26			
chr1-537	chr1	181210703	181212765	+	181208742	NA	promoter-TSS (ENSMUST00000036329.11)	-promoter-TSS (ENSMUST00000036329.11)	-182	ENSMUST00000162819.7	ENSMUSG00000038733	ENSMUST00000159673			Wdr26			
chr1-535	chr1	181210703	181212765	+	181208742	NA	promoter-TSS (ENSMUST00000036329.11)	-promoter-TSS (ENSMUST00000036329.11)	-182	ENSMUST00000162819.7	ENSMUSG00000038733	ENSMUST00000159673			Wdr26			
chr2-600	chr2	181153810	181154586	+	181154342	NA	intron (ENSMUST00000055990.7, intron 2 of 7)	-intron (ENSMUST00000055990.7, intron 2 of 7)	2816	ENSMUST00000055990.7	ENSMUSG00000016349	ENSMUST00000055990			Eef1a2			
chr2-601	chr2	181153810	181154586	+	181154342	NA	intron (ENSMUST00000055990.7, intron 2 of 7)	-intron (ENSMUST00000055990.7, intron 2 of 7)	2816	ENSMUST00000055990.7	ENSMUSG00000016349	ENSMUST00000055990			Eef1a2			
chr1-532	chr1	180848595	180849182	+	180850227	NA	Intergenic	Intergenic	-2239	ENSMUST00000038091.7	ENSMUSG00000038806	ENSMUST00000194948			Sde2			
chr1-531	chr1	180848595	180849182	+	180850227	NA	Intergenic	Intergenic	-2239	ENSMUST00000038091.7	ENSMUSG00000038806	ENSMUST00000194948			Sde2			
chr1-534	chr1	180850306	180851361	+	180850227	NA	promoter-TSS (ENSMUST00000038091.7)	-promoter-TSS (ENSMUST00000038091.7)	-294	ENSMUST00000038091.7	ENSMUSG00000038806	ENSMUST00000194948			Sde2			
chr1-533	chr1	180850306	180851361	+	180850227	NA	promoter-TSS (ENSMUST00000038091.7)	-promoter-TSS (ENSMUST00000038091.7)	-294	ENSMUST00000038091.7	ENSMUSG00000038806	ENSMUST00000194948			Sde2			
chr1-529	chr1	180777470	180778647	+	180779628	NA	Intergenic	Intergenic	-9402	ENSMUST00000193209.1	ENSMUSG00000103156	ENSMUST00000193209			Gm38293			
chr1-530	chr1	180777470	180778647	+	180779628	NA	Intergenic	Intergenic	-9402	ENSMUST00000193209.1	ENSMUSG00000103156	ENSMUST00000193209			Gm38293			
chr1-528	chr1	180767333	180768829	+	180769908	NA	intron (ENSMUST00000193209.1, intron 1 of 1)	-intron (ENSMUST00000193209.1, intron 1 of 1)	575	ENSMUST00000193209.1	ENSMUSG00000103156	ENSMUST00000193209			Gm38293			
chr1-527	chr1	180767333	180768829	+	180769908	NA	intron (ENSMUST00000193209.1, intron 1 of 1)	-intron (ENSMUST00000193209.1, intron 1 of 1)	575	ENSMUST00000193209.1	ENSMUSG00000103156	ENSMUST00000193209			Gm38293			
chr1-526	chr1	180640946	180642067	+	180641340	NA	intron (ENSMUST00000194373.5, intron 1 of 2)	-intron (ENSMUST00000085804.10, intron 1 of 11)	140	ENSMUST00000191744.5	ENSMUSG00000058729	ENSMUST00000193892			Lin9			
chr1-524	chr1	180640946	180642067	+	180641340	NA	intron (ENSMUST00000194373.5, intron 1 of 2)	-intron (ENSMUST00000085804.10, intron 1 of 11)	140	ENSMUST00000191744.5	ENSMUSG00000058729	ENSMUST00000193892			Lin9			
chr1-525	chr1	180640946	180642067	+	180641340	NA	intron (ENSMUST00000194373.5, intron 1 of 2)	-intron (ENSMUST00000085804.10, intron 1 of 11)	140	ENSMUST00000191744.5	ENSMUSG00000058729	ENSMUST00000193892			Lin9			
chr1-523	chr1	180568673	180569553	+	180570774	NA	promoter-TSS (ENSMUST00000194434.1)	-promoter-TSS (ENSMUST00000194434.1)	-113	ENSMUST00000194434.1	ENSMUSG00000026496	ENSMUST00000194608			Parp1			
chr1-522	chr1	180550558	180551132	+	180549178	NA	Intergenic	Intergenic	-18079	ENSMUST00000194608.1	ENSMUSG00000026496	ENSMUST00000194608			Parp1			
chr1-521	chr1	180550558	180551132	+	180549178	NA	Intergenic	Intergenic	-18079	ENSMUST00000194608.1	ENSMUSG00000026496	ENSMUST00000194608			Parp1			
chr2-599	chr2	180532004	180533144	+	180532432	NA	intron (ENSMUST00000170448.1, intron 1 of 4)	-intron (ENSMUST00000029084.8, intron 1 of 3)	32347	ENSMUST00000170448.1	ENSMUSG00000027568	ENSMUST00000029084			Ntsr1			
chr2-598	chr2	180041772	180043006	+	180040171	NA	promoter-TSS (ENSMUST00000029082.8)	-promoter-TSS (ENSMUST00000029082.8)	-4	ENSMUST00000155898.1	ENSMUSG00000027566	ENSMUST00000029082			Psma7			
chr2-597	chr2	180041772	180043006	+	180040171	NA	promoter-TSS (ENSMUST00000029082.8)	-promoter-TSS (ENSMUST00000029082.8)	-4	ENSMUST00000155898.1	ENSMUSG00000027566	ENSMUST00000029082			Psma7			
chr2-596	chr2	179976244	179977268	+	179974649	NA	promoter-TSS (ENSMUST00000041618.12)	-promoter-TSS (ENSMUST00000041618.12)	-97	ENSMUST00000150145.1	ENSMUSG00000085704	ENSMUST00000153188			4921531C22Rik			
chr2-595	chr2	179975253	179975467	+	179974649	NA	promoter-TSS (ENSMUST00000153188.1)	-promoter-TSS (ENSMUST00000153188.1)	-633	ENSMUST00000153188.1	ENSMUSG00000085704	ENSMUST00000153188			4921531C22Rik			
chr1-520	chr1	179787664	179787965	+	179788036	NA	intron (ENSMUST00000027768.13, intron 8 of 35)	-intron (ENSMUST00000027768.13, intron 8 of 35)	8331	ENSMUST00000192645.1	ENSMUSG00000026491	ENSMUST00000192645			Ahctf1			
chr1-519	chr1	179375650	179375868	+	179373934	NA	intron (ENSMUST00000128302.7, intron 5 of 11)	-intron (ENSMUST00000128302.7, intron 5 of 11)	-1656	ENSMUST00000131684.7	ENSMUSG00000055067	ENSMUST00000131684			Smyd3			
chr1-518	chr1	177615461	177615711	+	177614421	NA	Intergenic	Intergenic	-21064	ENSMUST00000194583.1	ENSMUSG00000102885	ENSMUST00000194583			Gm37280			
chr1-517	chr1	177461259	177461530	+	177463272	NA	TTS (ENSMUST00000191905.1)	-TTS (ENSMUST00000191905.1)	1212	ENSMUST00000192282.1	ENSMUSG00000102432	ENSMUST00000192282			Gm29856			
chr1-515	chr1	177257175	177259214	+	177255903	NA	promoter-TSS (ENSMUST00000111159.1)	-promoter-TSS (ENSMUST00000111159.1)	9	ENSMUST00000111159.1	ENSMUSG00000019699	ENSMUST00000211158			Akt3			
chr1-514	chr1	177257175	177259214	+	177255903	NA	promoter-TSS (ENSMUST00000111159.1)	-promoter-TSS (ENSMUST00000111159.1)	9	ENSMUST00000111159.1	ENSMUSG00000019699	ENSMUST00000211158			Akt3			
chr1-516	chr1	177257175	177259214	+	177255903	NA	promoter-TSS (ENSMUST00000111159.1)	-promoter-TSS (ENSMUST00000111159.1)	9	ENSMUST00000111159.1	ENSMUSG00000019699	ENSMUST00000211158			Akt3			
chr1-513	chr1	176994858	176995311	+	176995663	NA	intron (ENSMUST00000123409.7, intron 17 of 18)	-intron (ENSMUST00000027785.14, intron 16 of 17)	-2925	ENSMUST00000139589.1	ENSMUSG00000026504	ENSMUST00000139589			Sdccag8			
chr2-594	chr2	174601842	174602736	+	174602411	NA	Intergenic	Intergenic	11059	ENSMUST00000118738.1	ENSMUSG00000082353	ENSMUST00000118738			Vmn1r-ps1			
chr2-592	chr2	174327284	174328059	+	174326493	NA	promoter-TSS (ENSMUST00000087871.10)	-promoter-TSS (ENSMUST00000087871.10)	-28	ENSMUST00000156623.7	ENSMUSG00000027523	ENSMUST00000109095			Gnas			
chr2-593	chr2	174327284	174328059	+	174326493	NA	promoter-TSS (ENSMUST00000087871.10)	-promoter-TSS (ENSMUST00000087871.10)	-28	ENSMUST00000156623.7	ENSMUSG00000027523	ENSMUST00000109095			Gnas			
chr2-591	chr2	174109621	174110842	+	174109296	NA	promoter-TSS (ENSMUST00000044415.15)	-promoter-TSS (ENSMUST00000044415.15)	-118	ENSMUST00000044415.15	ENSMUSG00000039263	ENSMUST00000125502			Npepl1			
chr2-590	chr2	174109621	174110842	+	174109296	NA	promoter-TSS (ENSMUST00000044415.15)	-promoter-TSS (ENSMUST00000044415.15)	-118	ENSMUST00000044415.15	ENSMUSG00000039263	ENSMUST00000125502			Npepl1			
chr1-510	chr1	173459779	173460470	+	173458482	NA	TTS (ENSMUST00000173023.1)	-TTS (ENSMUST00000173023.1)	4636	ENSMUST00000135370.1	ENSMUSG00000037860	ENSMUST00000192575			Aim2			
chr1-509	chr1	173456433	173456646	+	173458482	NA	TTS (ENSMUST00000135370.1)	-TTS (ENSMUST00000135370.1)	1051	ENSMUST00000135370.1	ENSMUSG00000037860	ENSMUST00000192575			Aim2			
chr1-508	chr1	173456296	173457133	+	173458482	NA	TTS (ENSMUST00000135370.1)	-TTS (ENSMUST00000135370.1)	1226	ENSMUST00000135370.1	ENSMUSG00000037860	ENSMUST00000192575			Aim2			
chr1-507	chr1	173456296	173457133	+	173458482	NA	TTS (ENSMUST00000135370.1)	-TTS (ENSMUST00000135370.1)	1226	ENSMUST00000135370.1	ENSMUSG00000037860	ENSMUST00000192575			Aim2			
chr1-511	chr1	173459779	173460470	+	173458482	NA	TTS (ENSMUST00000173023.1)	-TTS (ENSMUST00000173023.1)	4636	ENSMUST00000135370.1	ENSMUSG00000037860	ENSMUST00000192575			Aim2			
chr1-512	chr1	173459779	173460470	+	173458482	NA	TTS (ENSMUST00000173023.1)	-TTS (ENSMUST00000173023.1)	4636	ENSMUST00000135370.1	ENSMUSG00000037860	ENSMUST00000192575			Aim2			
chr1-506	chr1	173350010	173350327	+	173351651	NA	promoter-TSS (ENSMUST00000147604.7)	-promoter-TSS (ENSMUST00000147604.7)	-711	ENSMUST00000147604.7	ENSMUSG00000037860	ENSMUST00000192575			Aim2			
chr1-504	chr1	173049766	173050732	+	173048850	NA	Intergenic	Intergenic	3441	ENSMUST00000201626.1	ENSMUSG00000106730	ENSMUST00000201626			Gm42472			
chr1-505	chr1	173049766	173050732	+	173048850	NA	Intergenic	Intergenic	3441	ENSMUST00000201626.1	ENSMUSG00000106730	ENSMUST00000201626			Gm42472			
chr1-502	chr1	172925438	172925958	+	172925563	NA	Intergenic	Intergenic	10636	ENSMUST00000104064.1	ENSMUSG00000077252	ENSMUST00000104064			Gm26077			
chr1-503	chr1	172925438	172925958	+	172925563	NA	Intergenic	Intergenic	10636	ENSMUST00000104064.1	ENSMUSG00000077252	ENSMUST00000104064			Gm26077			
chr1-501	chr1	172903041	172903935	+	172904542	NA	Intergenic	Intergenic	-8447	ENSMUST00000027824.6	ENSMUSG00000026542	ENSMUST00000027824			Apcs			
chr1-500	chr1	172903041	172903935	+	172904542	NA	Intergenic	Intergenic	-8447	ENSMUST00000027824.6	ENSMUSG00000026542	ENSMUST00000027824			Apcs			
chr2-589	chr2	172901283	172901616	+	172901847	NA	intron (ENSMUST00000009143.7, intron 2 of 6)	-intron (ENSMUST00000009143.7, intron 2 of 6)	-37108	ENSMUST00000175419.1	ENSMUSG00000093160	ENSMUST00000175419			Gm22773			
chr1-498	chr1	172699855	172700591	+	172701117	NA	TTS (ENSMUST00000038495.4)	-TTS (ENSMUST00000038495.4)	2167	ENSMUST00000194251.1	ENSMUSG00000037942	ENSMUST00000194251			Crp			
chr1-499	chr1	172699855	172700591	+	172701117	NA	TTS (ENSMUST00000038495.4)	-TTS (ENSMUST00000038495.4)	2167	ENSMUST00000194251.1	ENSMUSG00000037942	ENSMUST00000194251			Crp			
chr1-497	chr1	172699855	172700591	+	172701117	NA	TTS (ENSMUST00000038495.4)	-TTS (ENSMUST00000038495.4)	2167	ENSMUST00000194251.1	ENSMUSG00000037942	ENSMUST00000194251			Crp			
chr1-496	chr1	172525159	172525612	+	172525621	NA	promoter-TSS (ENSMUST00000159792.7)	-promoter-TSS (ENSMUST00000159792.7)	-664	ENSMUST00000159792.7	ENSMUSG00000026546	ENSMUST00000160531			Cfap45			
chr1-495	chr1	172513898	172514408	+	172512081	NA	exon (ENSMUST00000195877.1, exon 1 of 1)	-exon (ENSMUST00000195877.1, exon 1 of 1)	904	ENSMUST00000195877.1	ENSMUSG00000104351	ENSMUST00000195877			Gm37125			
chr2-588	chr2	172393333	172394050	+	172391512	NA	promoter-TSS (ENSMUST00000099061.8)	-promoter-TSS (ENSMUST00000099061.8)	-103	ENSMUST00000099061.8	ENSMUSG00000074570	ENSMUST00000109136			Cass4			
chr2-587	chr2	172393333	172394050	+	172391512	NA	promoter-TSS (ENSMUST00000099061.8)	-promoter-TSS (ENSMUST00000099061.8)	-103	ENSMUST00000099061.8	ENSMUSG00000074570	ENSMUST00000109136			Cass4			
chr1-494	chr1	172364629	172365144	+	172365699	NA	intron (ENSMUST00000056136.3, intron 1 of 1)	-intron (ENSMUST00000056136.3, intron 1 of 1)	-11660	ENSMUST00000052455.3	ENSMUSG00000050229	ENSMUST00000052455			Pigm			
chr1-491	chr1	172340626	172341505	+	172340839	NA	promoter-TSS (ENSMUST00000056136.3)	-promoter-TSS (ENSMUST00000056136.3)	-145	ENSMUST00000056136.3	ENSMUSG00000044708	ENSMUST00000056136			Kcnj10			
chr1-489	chr1	172340626	172341505	+	172340839	NA	promoter-TSS (ENSMUST00000056136.3)	-promoter-TSS (ENSMUST00000056136.3)	-145	ENSMUST00000056136.3	ENSMUSG00000044708	ENSMUST00000056136			Kcnj10			
chr1-493	chr1	172340626	172341505	+	172340839	NA	promoter-TSS (ENSMUST00000056136.3)	-promoter-TSS (ENSMUST00000056136.3)	-145	ENSMUST00000056136.3	ENSMUSG00000044708	ENSMUST00000056136			Kcnj10			
chr1-488	chr1	172340626	172341505	+	172340815	NA	promoter-TSS (ENSMUST00000056136.3)	-promoter-TSS (ENSMUST00000056136.3)	-145	ENSMUST00000056136.3	ENSMUSG00000044708	ENSMUST00000056136			Kcnj10			
chr1-492	chr1	172340626	172341505	+	172340815	NA	promoter-TSS (ENSMUST00000056136.3)	-promoter-TSS (ENSMUST00000056136.3)	-145	ENSMUST00000056136.3	ENSMUSG00000044708	ENSMUST00000056136			Kcnj10			
chr1-490	chr1	172340626	172341505	+	172340815	NA	promoter-TSS (ENSMUST00000056136.3)	-promoter-TSS (ENSMUST00000056136.3)	-145	ENSMUST00000056136.3	ENSMUSG00000044708	ENSMUST00000056136			Kcnj10			
chr1-487	chr1	172326180	172326586	+	172327613	NA	exon (ENSMUST00000062387.7, exon 3 of 4)	-exon (ENSMUST00000062387.7, exon 3 of 4)	1725	ENSMUST00000194860.1	ENSMUSG00000038026	ENSMUST00000194204			Kcnj9			
